Player,Position,Height,Weight,40 Yard,Bench,Vertical
"Holmes, Jalyn",DL,6047,283,4.82,25,31
"Key, Arden",DL,6047,238,4.9,26,31
"Bryan, Taven",DL,6050,291,4.98,30,35
"Thomas, Chad",DL,6050,281,4.92,26,29
"Hubbard, Sam",DL,6053,270,4.9,26,35
"Davenport, Marcus",DL,6056,264,4.58,22,33.5
"Smith, Andre",LB,5990,237,4.63,19,34
"Hamilton, Shaun Dion",LB,5990,228,4.7,20,34
"Bierria, Keishawn",LB,6003,230,4.79,21,30.5
"Griffin, Shaquem",LB,6003,227,4.38,20,34
"Kiser, Micah",LB,6003,238,4.66,20,35.5
"Scales, Tegray",LB,6003,230,4.77,27,34
"O'Daniel, Dorian",LB,6005,223,4.61,21,32
"Smith, Roquan",LB,6007,236,4.51,23,34
"Cabinda, Jason",LB,6010,239,4.7,19,34
"Jewell, Josey",LB,6010,234,4.82,18,33
"Sam, Christian",LB,6010,244,4.75,28,32
"Young, Kenny",LB,6010,236,4.6,23,36
"Baker, Jerome",LB,6011,229,4.53,22,36.5
"Jacobs, Leon",LB,6011,246,4.48,26,34.5
"McCray, Mike",LB,6011,243,4.76,16,31.5
"Holland, Jeff",LB,6013,249,4.79,23,34
"Iyiegbuniwe, Joel",LB,6013,229,4.6,19,35
"Worley, Chris",LB,6013,238,4.86,15,29.5
"Okoronkwo, Obonnia",LB,6015,253,4.77,27,38
"Evans, Rashaan",LB,6017,232,4.7,23,30
"Leonard, Darius",LB,6020,234,4.7,17,34
"Cichy, Jack",LB,6021,238,4.7,18,34
"Nwosu, Uchenna",LB,6021,251,4.65,20,32
"Victor, Azeem",LB,6021,240,4.72,19,32.5
"Covington, Chris",LB,6022,245,4.78,23,34
"Jackson, Darius",LB,6022,242,4.87,21,26.5
"Jefferson, Malik",LB,6022,236,4.52,27,36
"Moore, Skai",LB,6022,226,4.73,20,36
"Dooley, Garret",LB,6023,248,4.8,21,33
"Hearns, James",LB,6024,239,4.89,22,34
"DeLuca, Nick",LB,6025,251,4.85,18,29.5
"Kalambayi, Peter",LB,6025,252,4.57,19,34
"Thomas, Matthew",LB,6026,232,4.58,23,41.5
"Burks, Oren",LB,6031,233,4.59,18,39.5
"Pugh, Jake",LB,6033,246,4.65,20,38.5
"Warner, Fred",LB,6033,236,4.64,21,38.5
"Bellamy, Davin",LB,6036,255,4.7,15,34
"Vander Esch, Leighton",LB,6042,256,4.65,20,39.5
"Edmunds, Tremaine",LB,6044,253,4.54,19,34
"Turay, Kemoko",LB,6045,253,4.65,20,34
"Carter, Lorenzo",LB,6047,250,4.5,23,36
"Hernandez, Will",OL,6023,327,5.5,37,24
"Wynn, Isaiah",OL,6023,313,5.24,25,28
"Phillips, Skyler",OL,6026,324,5.24,25,29
"Welsh, Sean",OL,6026,300,5.05,20,25
"Taylor, Rod",OL,6027,321,5.24,25,30.5
"Shelton, Coleman",OL,6030,295,5.22,25,26.5
"Daniels, James",OL,6033,306,5.58,21,30.5
"Malone, K.J.",OL,6035,321,5.35,15,29
"Quessenberry, Scott",OL,6035,315,5.24,25,33.5
"Price, Billy",OL,6036,305,5.09,25,25
"Hearn, Taylor",OL,6040,330,5.15,18,24
"Jones, Jamarco",OL,6040,299,5.32,25,24
"Cole, Mason",OL,6041,305,5.15,23,23.5
"Corbett, Austin",OL,6043,306,5.23,19,28
"Rankin, Martinas",OL,6043,308,5.26,24,26
"Weathersby, Toby",OL,6043,317,5.43,28,24.5
"Clapp, Will",OL,6044,314,5.23,25,29
"Demby, Jamil",OL,6044,335,5.46,17,23.5
"Teller, Wyatt",OL,6044,301,5.24,30,29
"Crosby, Tyrell",OL,6045,309,5.24,17,30
"Jones, Sam",OL,6045,290,5.22,28,27
"Gossett, Colby",OL,6047,315,4.9,32,25
"Bright, David",OL,6050,299,5.85,25,28
"Madison, Cole",OL,6050,313,5.34,26,28.5
"Nelson, Quenton",OL,6050,325,4.96,35,26.5
"Noteboom, Joe",OL,6050,309,5.31,27,24
"Uhatafe, Leka",OL,6050,295,5.34,25,28
"Christian, Geron",OL,6051,298,5.39,19,28
"Ragnow, Frank",OL,6051,312,5.24,26,25
"Williams, Connor",OL,6051,296,5.24,26,34
"Gates, Nick",OL,6053,295,5.2,20,24
"McDermott, K.C.",OL,6055,300,5.24,26,23.5
"Richardson, Will",OL,6055,306,5.38,25,31.5
"Cappa, Alex",OL,6056,305,5.33,24,26.5
"Harrison, Des",OL,6060,292,5.45,22,28
"Okorafor, Chukwuma",OL,6060,320,4.82,19,23.5
"Parris, Timon",OL,6060,320,5.1,27,25
